16.6667;-4.16667;0;0;-4.16667;-8.33333;0;0;0;0;0;0;0;0;0;0;
-4.16667;33.3333;-4.16667;0;-8.33333;-8.33333;-8.33333;0;0;0;0;0;0;0;0;0;
0;-4.16667;33.3333;-4.16667;0;-8.33333;-8.33333;-8.33333;0;0;0;0;0;0;0;0;
0;0;-4.16667;16.6667;0;0;-8.33333;-4.16667;0;0;0;0;0;0;0;0;
-4.16667;-8.33333;0;0;33.3333;-8.33333;0;0;-4.16667;-8.33333;0;0;0;0;0;0;
-8.33333;-8.33333;-8.33333;0;-8.33333;66.6667;-8.33333;0;-8.33333;-8.33333;-8.33333;0;0;0;0;0;
0;-8.33333;-8.33333;-8.33333;0;-8.33333;66.6667;-8.33333;0;-8.33333;-8.33333;-8.33333;0;0;0;0;
0;0;-8.33333;-4.16667;0;0;-8.33333;33.3333;0;0;-8.33333;-4.16667;0;0;0;0;
0;0;0;0;-4.16667;-8.33333;0;0;33.3333;-8.33333;0;0;-4.16667;-8.33333;0;0;
0;0;0;0;-8.33333;-8.33333;-8.33333;0;-8.33333;66.6667;-8.33333;0;-8.33333;-8.33333;-8.33333;0;
0;0;0;0;0;-8.33333;-8.33333;-8.33333;0;-8.33333;66.6667;-8.33333;0;-8.33333;-8.33333;-8.33333;
0;0;0;0;0;0;-8.33333;-4.16667;0;0;-8.33333;33.3333;0;0;-8.33333;-4.16667;
0;0;0;0;0;0;0;0;-4.16667;-8.33333;0;0;16.6667;-4.16667;0;0;
0;0;0;0;0;0;0;0;-8.33333;-8.33333;-8.33333;0;-4.16667;33.3333;-4.16667;0;
0;0;0;0;0;0;0;0;0;-8.33333;-8.33333;-8.33333;0;-4.16667;33.3333;-4.16667;
0;0;0;0;0;0;0;0;0;0;-8.33333;-4.16667;0;0;-4.16667;16.6667;
